MARGIN RANGE,OUTCOME NAME,DAMAGE TYPE,STATUS EFFECT / CONSEQUENCE
NAT 20,CRITICAL,Full Condition + Injury,Roll on Injury Table (Margin counts as +10).
+10 or more,SMASH,Full Condition Damage,Roll on Injury Table.
+6 to +9,SOLID HIT,Full Condition Damage,None.
+1 to +5,GRAZE,0 Condition Damage,1d6 Composure Damage (Stress).
0 (TIE),THE CLASH,See Clash Table,Initiate Clash Protocol.
-1 to -6,MISS,None,Miss (Whiff / Dodge).
-7 or worse,HARD DEFLECT,None,Attacker is STAGGERED (loses next Action).
NAT 1,DISASTER,1d4 Self Damage,Attacker is PRONE & DISARMED.

=== CLASH OPTIONS ===
OPTION,COST,EFFECT DESCRIPTION
PRESS,0,(Aggressive) Uses Weapon Skill's Attribute. Winner comparison determines Physics Effect.
DISENGAGE,0,(Defensive) Uses Armor Skill's Attribute. Winner comparison determines Physics Effect.

=== CLASH PHYSICS EFFECTS (Winner's Stat) ===
STAT,EFFECT NAME,DESCRIPTION
MIGHT,Overpower,Winner advances 1 step; Loser pushed back 1 step.
FINESSE,Disarm,Loser drops their active weapon.
REFLEXES,Redirect,Winner swaps spaces with Loser and chooses facing.
VITALITY,Exhaust,Loser takes Composure Damage.
FORTITUDE,Bulwark,Loser pulled forward 1 step; Winner sidesteps.
KNOWLEDGE,Analyze,Winner moves to any space adjacent to Loser.
LOGIC,Calculated,Deal Minor HP Damage (Grazing hit).
AWARENESS,Spot,Loser gains Slowed status.
INTUITION,Hazard,Push Loser into nearest Obstacle/Ally (Damage + Stagger).
CHARM,Feint,Winner sidesteps; Loser stumbles forward 2 spaces.
WILLPOWER,Dominate,Winner gains Advantage on next action vs Loser.

=== OVERCHARGE RULES ===
TRIGGER EVENT,MECHANIC / RULE,EFFECT / COST
OVERCHARGE (Physical),Pay HP for missing Stamina,Cost: 2 HP per 1 Stamina. (Muscle Tear).
OVERCHARGE (Mental),Pay Comp for missing Focus,Cost: 2 Composure per 1 Focus. (Mind Fracture).
BLOWOUT LIMIT,HP < 50% or Focus 0,Apply STATUS: Weakened or Shaken.

=== STATUS EFFECTS ===
STATUS,EFFECT SUMMARY,CURE / END CONDITION
STAGGERED,No Reactions. Loses next Action.,End of your next Turn.
PRONE,Melee hits you with Advantage. Ranged has Disadvantage.,Spend Half Movement to stand.
DISARMED,Weapon drops in adjacent square (or flies 10ft).,Interact Action to pick up.
BROKEN,0 Composure. Cannot Attack/Cast. Can only Defend/Flee.,Rally Action or Restore Composure.
SLOWED,Movement speed halved.,End of next Turn or Cure.
