Archetype,Voice,Motivation,Diction
Grumpy Gatekeeper,Rough and impatient. Uses short sentences. Wants to be left alone.,"""Halt. What's your business? Make it quick."""
Fawning Merchant,Overly polite and oily. Uses flowery language. Wants to make a sale.,"""Ah, most esteemed traveler! A moment of your glorious time for a look at my humble wares?"""
Cryptic Sage,Quiet and mysterious. Speaks in riddles or metaphors. Wants to test the player's wisdom.,"""The shadow grows long before the sun even peaks. Do you carry the light, or do you merely reflect it?"""
Desperate Survivor,Panic-stricken and breathless. Stutters or repeats words. Wants protection or resources.,"""Please... you have to help... they're everywhere... just... just a bit of water? Please!"""
Arrogant Noble,Condescending and cold. Uses big words to sound superior. Wants to maintain status.,"""I do not recall inviting the common rabble into my presence. State your intent and begone."""
Friendly Drunk,Slurred and jovial. Uses nicknames. Wants another drink or a good story.,"""'ey there, mate! You look like you've seen a ghost! Or maybe just a very ugly orc, eh?"""
Duty-Bound Knight,Formal and stern. Uses 'sir' or 'citizen'. Wants to maintain order.,"""Citizen, move along. This area is under official investigation by the Order of the Silver Wing."""
Scheming Thief,Whispered and sharp. Uses slang/cant. Wants to find a mark or gather intel.,"""Keep your voice down, friend. You want in on the 'big job' or are you just window shopping?"""
Enthusiastic Scholar,Fast-talking and excited. Uses technical terms. Wants to share a discovery.,"""Incredible! Do you see the ley-line resonance on that pillar? It's practically vibrating!"""
Sinister Cultist,Low and rhythmic. Uses religious jargon. Wants to recruit or sacrifice.,"""The Void calls, and only the faithful shall hear. Will you join the chorus, or be the silence?"""
