Theme,Room_Type,Set_Piece,Flavor_Tags
Caves,Entrance,Moss-covered archway,"damp, echoing, cool"
Caves,Lair,Bone-strewn nest,"smell of rot, scratching sounds, dark"
Caves,Treasure,Glittering stalactites,"shimmering, hidden, cold"
Manor,Hallway,Gilded portraits with following eyes,"dusty, regal, creepy"
Manor,Library,Towering shelves of rotting leather,"smell of old paper, silence, shadows"
Manor,Cellar,Dripping wine casks of dark liquid,"fermenting, heavy air, claustrophobic"
Tomb,Antechamber,Shattered sarcophagus,"ancient, stagnant, desperate"
Tomb,Burial,Mummified remains in alcoves,"wrapping, dry, silent"
Tomb,Sanctum,Flickering blue-fire brazier,"unnatural, cold, magical"
Swap,Marsh,Sunken boat skeleton,"bubbling, sulfurous, humid"
Swamp,Hut,Crones brewing pot,"reedy, hanging herbs, wooden creaks"
Swamp,Clearing,Will-o-the-wisps,"luring lights, thick fog, soft ground"
Tavern,Common,Roaring hearth and spilled ale,"noisy, warm, smell of roasted meat"
Tavern,Kitchen,Giant iron spit with a whole hog,"clattering, steam, savory"
Tavern,Room,Squeaky bed and thin walls,"private, cramped, muffled voices"
Desert,Oasis,Drying well and withered palms,"dry heat, mirage, sandy"
Desert,Ruins,Half-buried basalt pillar,"wind-whipped, ancient, desolate"
Desert,Cave,Cool shade and scorpion tracks,"releif, dusty, quiet"
Grassland,Camp,Smoldering campfire,"open air, wind, grass"
Grassland,River,Ford with stepping stones,"rushing water, birds, fresh"
Grassland,Hill,Lonely tree at the summit,"panoramic, breezy, peaceful"
Tomb,Prison,Rusted iron bars,"clanking, misery, cold stone"
Manor,Parlor,Shattered piano,"melancholy, broken, aristocratic"
Caves,Forge,Abandoned anvil,"soot, iron, heat"
